Date,Price,Change,P_Change,Open,Volume,Avg_Volume,Market_Cap,Beta,PE_Ratio,EPS
2020-06-02 16:30:00,53.63,-0.17,-0.32,53.31,474481,79420114,62.811,2.17,125.89,0.43
2020-06-02 18:55:00,52.47,-1.16,-2.16,53.45,23560746,79420114,61.452,2.17,123.16,0.43
2020-06-02 18:57:00,52.49,-1.14,-2.13,53.45,23682855,79420114,61.476,2.17,123.22,0.43
