Date,Price,Change,P_Change,Open,Volume,Avg_Volume,Market_Cap,Beta,PE_Ratio,EPS
2020-06-02 16:30:00,27.59,0.5,1.85,26.61,634332,48251028,113.119,1.19,9.55,2.89
2020-06-02 18:55:00,27.73,0.64,2.34,27.58,16078941,48032626,113.673,1.19,9.59,2.89
2020-06-02 18:57:00,27.64,0.55,2.03,27.58,16216114,48251028,113.324,1.19,9.56,2.89
