Date,Price,Change,P_Change,Open,Volume,Avg_Volume,Market_Cap,Beta,PE_Ratio,EPS
2020-06-02 16:30:00,389.68,3.08,0.8,387.08,5202,4050449,187.748,0.9,59.05,6.6
2020-06-02 18:55:00,383.01,-6.67,-1.71,389.92,1108180,4050449,184.535,0.9,58.04,6.6
2020-06-02 18:57:00,383.12,-6.55,-1.68,389.92,1115497,4050449,184.59,0.9,58.06,6.6
